Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.17,-6.197616048102152e-05,0,-0.0016090949750592173,-0.41855135849082437,-0.04475507575316095,6.949940244022182,0.153,1.7000000000000004,10.0
0.18,-8.254261780692978e-05,0,-0.0020566457325908267,-0.3490519560506026,-0.05457173957262128,8.47491856490589,0.171,1.8000000000000005,10.0
0.19,-0.00010856624909010018,0,-0.0026023631283170396,-0.2643027704015437,-0.07339898903644078,12.323878299755995,0.19000000000000003,1.9000000000000006,10.0
0.2,-0.00014192977927691465,0,-0.0033363530186814472,-0.14106398740398374,-0.10800928440026998,19.658802062426716,0.21000000000000002,2.0000000000000004,10.0
0.21,-0.00018609423790375611,0.0005552403322028343,-0.004416445862684147,0.05552403322028343,-0.14640893294746363,26.504149304823287,0.23100000000000004,2.1000000000000005,10.0
0.22,-0.0002448995898253439,0.0037608955948879976,-0.005880535192158783,0.3205655262685163,-0.1873371959595187,32.61514194404709,0.25300000000000006,2.2000000000000006,10.0
0.23,-0.00032243866134288365,0.01022806505197787,-0.00775390715175397,0.6467169457089872,-0.23380549676511514,38.72610353232733,0.2760000000000001,2.3000000000000007,10.0
0.24,-0.00042335828253693486,0.020567844862300476,-0.01009196211940512,1.0339779810322605,-0.2861337879118995,44.837028679561364,0.3000000000000001,2.400000000000001,10.0
0.25,-0.000552891282522176,0.03539132754057922,-0.012953299998524116,1.482348267827874,-0.4001800348788205,60.73886502233539,0.3250000000000001,2.500000000000001,10.0
0.26,-0.0007224422859952993,0.056288696721091505,-0.01695510034731232,2.089736918051228,-0.47982790134827885,68.51413025718888,0.35100000000000015,2.600000000000001,10.0
0.27,-0.0009399760796032503,0.08403747892732268,-0.021753379360795105,2.7748782206231173,-0.5505945502762716,73.64578376242841,0.37800000000000017,2.700000000000001,10.0
0.28,-0.0012125693282388286,0.11915083950979669,-0.02725932486355782,3.5113360582474016,-0.634937745188909,79.79257182305604,0.4060000000000002,2.800000000000001,10.0
0.29,-0.0015486563513932977,0.1622434572745763,-0.03360870231544691,4.309261776477962,-0.7449445440939557,88.30806496618828,0.4350000000000002,2.9000000000000012,10.0
0.3,-0.0019592378289571624,0.21416688153597477,-0.041058147756386464,5.192342426139845,-0.8654327504784854,96.82345243509242,0.46500000000000025,3.0000000000000013,10.0
0.31,-0.0024563625815688757,0.27577265104088244,-0.04971247526117132,6.1605769504907695,-0.9968481591044389,105.33872091327487,0.4960000000000003,3.1000000000000014,10.0
0.32,-0.0030531721500910327,0.34791229263711765,-0.05968095685221571,7.213964159623519,-1.1396365479127655,113.85385603744596,0.5280000000000002,3.2000000000000015,10.0
0.33,-0.0037639453734044665,0.43143731983709743,-0.07107732233134337,8.352502719997979,-1.2942436761168392,122.36884235862908,0.5610000000000003,3.3000000000000016,10.0
